樓層,編號,種類 1,種類 2
B2,1,家用電話,線材
B2,3,音響,耳機
B2,5,品牌電視,電腦螢幕
B2,7,電腦螢幕,鍵盤/滑鼠
B2,9,冷氣專區,儲存裝置
B2,13,電子鍋,微波爐
B2,15,開飲機,功能鍋
B2,17,空氣清靜機/除濕機,果汁機
B2,19,冰箱,吸塵器/吹風機
B2,21,男上著,男運動服飾
B2,23,男休閒褲,促銷區
B2,25,促銷區,男牛仔褲
B2,27,男內衣內褲,襪子
B2,29,女內衣,女內衣
B2,31,棉座墊,床單
B2,33,棉被,枕頭
B2,35,職人鞋,促銷區
B2,37,促銷區,運動鞋
B2,39,手套/抹布,拖把/掃把
B2,41,衣架,垃圾桶/垃圾袋
B2,43,洗衣粉,柔軟精/去漬/漂白水
B2,45,衣物洗劑,衣物洗劑
B2,47,洗碗精/菜瓜布,浴室/廚房清潔劑
B2,49,成人奶粉/果醬,糖/營養補充品
B2,51,即溶咖啡,即溶茶
B2,2,湯鍋,平煎鍋
B2,4,便當盒,餐廚用品
B2,6,廚房配件,保鮮膜
B2,8,宜得利家居,
B2,10,濾水器.保溫瓶,杯子.冰桶
B2,12,露營用品,玩具.文具
B2,14,拉桿箱.背包,健身用品
B2,16,床墊,鐵力士架
B2,18,多層架/櫃子,學生檯燈.電腦桌椅
B2,20,滑輪整理箱,大型整理箱
B2,22,汽車清潔.機油,安全帽.雨刷
B2,24,燈泡,延長線.工具
B2,26,衛生紙,衛生紙
B2,28,衛生紙,衛生紙
B2,30,藥品,保健食品
B2,32,成人紙尿褲,成人紙尿褲
B2,34,嬰兒紙尿褲,嬰兒食品
B2,36,牙刷/口腔配件,牙膏/漱口水
B2,38,美妝,臉部清潔
B2,40,面膜,防曬乳/護純/化妝棉
B2,42,沐浴乳/身體乳液,沐浴乳
B2,44,刮鬍刀/香皂,染髮劑/髮飾
B2,46,洗髮精,洗髮精
B1,3,啤酒,
B1,5,進口食品/啤酒,
B1,9,歐美食品,機能飲料
B1,11,果汁,運動飲料
B1,13,汽水,汽水
B1,15,麵條,麵條
B1,17,泡麵,泡麵
B1,19,泡麵,調味料/火鍋醬料
B1,21,油,醋/醬油
B1,23,米/調理包,米
B1,4,餅乾/蛋捲,蘇打餅乾
B1,6,點心,洋芋片/夾心餅乾
B1,8,糖果,巧克力
B1,10,茶,堅果
B1,12,茶,茶
B1,14,起司/奶油,豆腐/雞蛋
B1,16,豆米漿,鮮乳
B1,18,冰品/火鍋,冰品/火鍋
B1,20,冷凍水餃,調理食品